(Brunei Darussalam,2001,1.0005132341080725)
(Maldives,2012,1.00072055997804)
(Iceland,2009,1.0011671743146753)
(Norway,2012,1.0013242117327177)
(French Polynesia,2007,1.0018443095366172)
(Republic of Korea,2009,1.0019951918740762)
(Iceland,2007,1.0024512634915745)
(Republic of Korea,2010,1.0038482369853208)
(Fiji,1996,1.0039615120724017)
(Burkina Faso,2006,1.004805828438508)
(Republic of Korea,2011,1.0056910495593534)
(Norway,2011,1.0057996009024268)
(Republic of Korea,2005,1.0065782579200906)
(Philippines,2010,1.0078890759497876)
(Andorra,2011,1.0084117221418234)
(Senegal,2011,1.0089155913291576)
(Norway,2010,1.0105851361758733)
(Fiji,2007,1.0112605314322747)
(Norway,2009,1.0128940428968538)
(Indonesia,2005,1.0138802401066653)
(Iceland,2010,1.0150575842342684)
(Iceland,2012,1.0154209895938653)
(Republic of Korea,2014,1.0157753213302516)
(Ghana,2000,1.0163868746607905)
(Philippines,2007,1.0165294926469326)
(Norway,2008,1.016589606133702)
(Iceland,2006,1.0166096533723528)
(Suriname,2003,1.016735812651645)
(Isle of Man,2006,1.0167692307692309)
(Saint Helena ex. dep.,2008,1.0169491525423728)
(Australia,2010,1.0172083713718458)
(Australia,2009,1.0174175849132905)
(Suriname,2004,1.0175655903967014)
(Australia,2012,1.0177879739270914)
(Venezuela (Bolivarian Republic of),2011,1.0178745857890321)
(China - Macao SAR,2008,1.0179159049360147)
(Australia,2005,1.0187142905428468)
(Republic of Korea,2013,1.0187211558764089)
(Saint Pierre and Miquelon,1999,1.0201366414958648)
(Australia,2004,1.0208969169866629)
(Costa Rica,2000,1.0209172397988615)
(Denmark,2011,1.0210483766386058)
(Denmark,2010,1.0214615604977606)
(Denmark,2009,1.0223644432372634)
(Australia,2003,1.0232157831655506)
(Cayman Islands,1999,1.023942694534393)
(Canada,2008,1.0244091669978785)
(Canada,2010,1.0246324059561902)
(Canada,2009,1.0246587809160044)
(Azerbaijan,2012,1.0248848496764869)
(Philippines,2000,1.0249112406115553)
(Norway,2007,1.0249536380240212)
(Albania,2003,1.0250043813077947)
(Zambia,2010,1.025012097592449)
(Iceland,2005,1.0253408937491562)
(Denmark,2013,1.0258954113598593)
(Zimbabwe,2002,1.0260594215667753)
(Uzbekistan,2001,1.0262837696570355)
(Singapore,2010,1.0265725232962932)
(Denmark,2012,1.0268008672525144)
(Australia,2011,1.0268606569567609)
(Azerbaijan,2010,1.02751783757713)
(Denmark,2008,1.027865004167588)
(Bosnia and Herzegovina,1991,1.027903601342566)
(Mauritius,2003,1.028103468774238)
(TFYR of Macedonia,2007,1.028334705110728)
(Denmark,2007,1.0288153443598584)
(TFYR of Macedonia,2008,1.0289406578761902)
(China - Macao SAR,2007,1.0293323041296796)
(Mauritius,2000,1.029346341121659)
(Canada,2007,1.0296234188687288)
(Canada,2003,1.0297990800703223)
(Mauritius,2012,1.0298274331692585)
(Mauritius,2005,1.029879193878409)
(Canada,2005,1.0301337176177532)
(Canada,2004,1.0305884307447015)
(Mauritius,2006,1.0309609275996627)
(Denmark,2006,1.0318206501485354)
(Mauritius,2007,1.032261119001866)
